"","0","1","p","test","SMD"
"n","1,318","1,612","","",""
"Male_sex = 1 (%)","881 (66.8)","1214 (75.3)","<0.001","","0.188"
"hosp_gstt = 1 (%)","344 (26.1)","342 (21.2)","0.002","","0.115"
"hosp_ichnt = 1 (%)","624 (47.3)","651 (40.4)","<0.001","","0.141"
"hosp_oxfor = 1 (%)","192 (14.6)","450 (27.9)","<0.001","","0.331"
"hosp_uclh = 1 (%)","158 (12.0)","169 (10.5)","0.220","","0.048"
"diabetes = 1 (%)","413 (31.3)","408 (25.3)","<0.001","","0.134"
"FhxCHD = 1 (%)","259 (19.7)","553 (34.3)","<0.001","","0.335"
"Hypercholesterolaemia = 1 (%)","506 (38.4)","633 (39.3)","0.656","","0.018"
"Hypertension = 1 (%)","743 (56.4)","857 (53.2)","0.089","","0.065"
"Smoking = 1 (%)","444 (33.7)","878 (54.5)","<0.001","","0.428"
"Aortic_aneurysm = 1 (%)","9 (0.7)","8 (0.5)","0.677","","0.024"
"Angina = 1 (%)","37 (2.8)","68 (4.2)","0.052","","0.077"
"aortic_stenosis = 1 (%)","31 (2.4)","13 (0.8)","0.001","","0.124"
"atrial_fibrillation = 1 (%)","91 (6.9)","79 (4.9)","0.026","","0.085"
"Cardiac_arrest = 1 (%)","21 (1.6)","32 (2.0)","0.514","","0.030"
"Low_grade_AV_block = 1 (%)","8 (0.6)","13 (0.8)","0.677","","0.024"
"Complete_AV_block = 1 (%)","7 (0.5)","10 (0.6)","0.943","","0.012"
"HF = 1 (%)","169 (12.8)","121 (7.5)","<0.001","","0.177"
"PVD = 1 (%)","52 (3.9)","41 (2.5)","0.041","","0.079"
"Previous_MI = 1 (%)","305 (23.1)","440 (27.3)","0.012","","0.096"
"SVT = 1 (%)","7 (0.5)","7 (0.4)","0.913","","0.014"
"VFib = 1 (%)","8 (0.6)","18 (1.1)","0.206","","0.055"
"VT = 1 (%)","7 (0.5)","15 (0.9)","0.303","","0.047"
"AKI = 1 (%)","63 (4.8)","39 (2.4)","0.001","","0.127"
