"","term","estimate","conf.low","conf.high","p.value","model_name"
"1","deaths3days_noninvasive",0.402926805985988,0.320282495915602,0.506896296402195,0,"multivariable with deaths3days non-invasive"
"2","agesp1",1.01418856474236,0.985971587640724,1.04321306794995,0.328,"multivariable with deaths3days non-invasive"
"3","agesp2",1.0157339540049,0.987465513486005,1.04481164276433,0.278,"multivariable with deaths3days non-invasive"
"4","creatininesp1",1.00862243888589,0.999124077567496,1.01821109816603,0.075,"multivariable with deaths3days non-invasive"
"5","creatininesp2",0.991470788140806,0.980751256328347,1.00230748356793,0.122,"multivariable with deaths3days non-invasive"
"6","haemoglobinsp1",0.910315886758915,0.838514131810484,0.988266007987761,0.025,"multivariable with deaths3days non-invasive"
"7","haemoglobinsp2",0.912185252892428,0.811650570477532,1.02517261227928,0.123,"multivariable with deaths3days non-invasive"
"8","plateletcountsp1",0.995982221101338,0.993026309908532,0.998946931065026,0.008,"multivariable with deaths3days non-invasive"
"9","plateletcountsp2",1.00501133681626,1.00199065629431,1.00804112372134,0.001,"multivariable with deaths3days non-invasive"
"10","sodiumsp1",0.983185342443204,0.954643251557674,1.01258078975354,0.259,"multivariable with deaths3days non-invasive"
"11","sodiumsp2",0.975682938461767,0.936120783854161,1.01691706115746,0.244,"multivariable with deaths3days non-invasive"
"12","lsptsp1",1.16323768587793,1.08711524925979,1.2446903994475,0,"multivariable with deaths3days non-invasive"
"13","lsptsp2",0.943084771496116,0.88289787559276,1.00737459089563,0.082,"multivariable with deaths3days non-invasive"
"14","whitecellsp1",1.08333789161853,1.00581337912398,1.16683771738913,0.035,"multivariable with deaths3days non-invasive"
"15","whitecellsp2",0.952010199755896,0.88762733565204,1.02106298897779,0.169,"multivariable with deaths3days non-invasive"
"16","diabetes",1.22228314943478,0.981646650012666,1.52190821144547,0.073,"multivariable with deaths3days non-invasive"
"17","FhxCHD",0.692276221822123,0.502818039662159,0.953120869772923,0.024,"multivariable with deaths3days non-invasive"
"18","Smoking",0.815364713790084,0.620731959978386,1.07102527235288,0.142,"multivariable with deaths3days non-invasive"
"19","Aortic_aneurysm",2.45880757745673,1.15296550936072,5.24363881995983,0.02,"multivariable with deaths3days non-invasive"
"20","aortic_stenosis",1.87714179125598,1.14028079329323,3.09016982940059,0.013,"multivariable with deaths3days non-invasive"
"21","atrial_fibrillation",1.58703121867398,1.18277989715699,2.12944783310898,0.002,"multivariable with deaths3days non-invasive"
"22","Cardiac_arrest",5.09916990544088,3.46014452505343,7.51458025417377,0,"multivariable with deaths3days non-invasive"
"23","HF",1.53013788185683,1.16838114587317,2.00390253280196,0.002,"multivariable with deaths3days non-invasive"
"24","PVD",1.92295158361139,1.32875925551956,2.78285383718187,0.001,"multivariable with deaths3days non-invasive"
"25","Previous_MI",0.974909813999513,0.745791616691951,1.27441650477166,0.853,"multivariable with deaths3days non-invasive"
"26","VT",1.2682257639342,0.621931515966218,2.58613134567994,0.513,"multivariable with deaths3days non-invasive"
"27","AKI",1.37052373836809,0.969634668034416,1.93715775575361,0.074,"multivariable with deaths3days non-invasive"
"28","Urinary_incontinence",4.48418335909712,1.51829733769706,13.24371708937,0.007,"multivariable with deaths3days non-invasive"
"29","Interstitial_lung_disease",3.21429821914157,0.937152888916606,11.0245757802877,0.063,"multivariable with deaths3days non-invasive"
"30","Obstructive_Lung_Disease",2.21025513818724,1.65677066664051,2.94864453738129,0,"multivariable with deaths3days non-invasive"
"31","Asthma",0.389747035098606,0.234807801969785,0.646923782318361,0,"multivariable with deaths3days non-invasive"
"32","Pulmonary_embolism",2.75576978431758,0.674569595773545,11.257944549738,0.158,"multivariable with deaths3days non-invasive"
"33","Respiratory_Failure",1.27901455097769,0.803003370453694,2.03719969529942,0.3,"multivariable with deaths3days non-invasive"
"34","Ischaemic_stroke",1.49938533705244,0.615686353707649,3.6514637289417,0.372,"multivariable with deaths3days non-invasive"
"35","Constipation",1.54562077471741,0.632662026101255,3.77601860184303,0.339,"multivariable with deaths3days non-invasive"
"36","Liver_disease",2.50213883869657,1.06187012469001,5.89591761039655,0.036,"multivariable with deaths3days non-invasive"
"37","Fracture",6.9747509308287,2.47796445960757,19.6319000292684,0,"multivariable with deaths3days non-invasive"
"38","Malignant_neoplasm",2.12175023361628,1.545740872773,2.91240539287458,0,"multivariable with deaths3days non-invasive"
"39","Benign_neoplasm",4.54909874287237,1.32029055234898,15.6740494246398,0.016,"multivariable with deaths3days non-invasive"
"40","Lymphoma",2.35046415542585,0.727920931582456,7.58967287000723,0.153,"multivariable with deaths3days non-invasive"
"41","Sepsis",1.77165916617136,0.967903531459548,3.24286057345599,0.064,"multivariable with deaths3days non-invasive"
"42","Fall",2.53787011866275,0.762950222082345,8.44194621455411,0.129,"multivariable with deaths3days non-invasive"
"43","Hearing",3.45529367324159,0.843180785626073,14.1595427361149,0.085,"multivariable with deaths3days non-invasive"
"44","Visual",0.243624013309307,0.0540135001939739,1.09884861465718,0.066,"multivariable with deaths3days non-invasive"
"45","Assistance",2.51151595867796,0.917757848599558,6.87295937628781,0.073,"multivariable with deaths3days non-invasive"
"46","propscore2sp1",1.22337888035778,0.366002978287126,4.08919045388569,0.743,"multivariable with deaths3days non-invasive"
"47","propscore2sp2",0.852540532941029,0.254212421429505,2.859126065596,0.796,"multivariable with deaths3days non-invasive"
"48","deaths3days_invasive",0.772811477973144,0.622679934805045,0.959140558582514,0.019,"multivariable with deaths3days invasive"
"49","agesp1",1.01298991907189,0.984742521155598,1.04204759528113,0.371,"multivariable with deaths3days invasive"
"50","agesp2",1.0168411144497,0.988532029332611,1.04596090096683,0.246,"multivariable with deaths3days invasive"
"51","creatininesp1",1.00970523614711,1.00023310231928,1.01926707038482,0.045,"multivariable with deaths3days invasive"
"52","creatininesp2",0.990275487510731,0.979606665501817,1.0010605028522,0.077,"multivariable with deaths3days invasive"
"53","haemoglobinsp1",0.897968207779177,0.826587535169457,0.975513019340219,0.011,"multivariable with deaths3days invasive"
"54","haemoglobinsp2",0.919979369134563,0.818010564010351,1.03465905804918,0.164,"multivariable with deaths3days invasive"
"55","plateletcountsp1",0.996174616019924,0.99321688124632,0.999141158733825,0.012,"multivariable with deaths3days invasive"
"56","plateletcountsp2",1.0048156446626,1.00181970718897,1.00782054147421,0.002,"multivariable with deaths3days invasive"
